
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
144575.84,,,,,,15115.50
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
133725.31,132386.61,,,10850.53,2758.97,1506.00


Name,Ticker,Current Price (Rs.),Avg Buy Price (Rs.),Returns (%),Weightage,Shares
Nippon India ETF Gold BeES,GOLDBEES,51.90,47.93,8.26,28.89,805
Nippon India ETF Junior BeES,JUNIORBEES,542.32,447.76,21.11,19.88,53
Nippon India ETF Nifty BeES,NIFTYBEES,231.35,202.22,14.40,14.56,91
Nippon India ETF Liquid BeES,LIQUIDBEES,1000.01,1000.00,—,36.65,53
