
Investment Overview,,,,,,Returns Breakdown

Current Value,,,,,,Total Returns
41296.55,,,,,,5291.70
Current Investment,Money Put In,,,Current Returns,Realized Returns,Dividends
36223.85,36223.85,,,5072.70,0.00,219.00


Name,Ticker,Current Price (Rs.),Avg Buy Price (Rs.),Returns (%),Weightage,Shares
AU Small Finance Bank Ltd,AUBANK,745.20,714.60,4.28,9.02,5
Axis Bank Ltd,AXISBANK,1125.45,880.22,27.86,13.62,5
Federal Bank Ltd,FEDERALBNK,152.55,118.27,28.97,8.86,24
HDFC Bank Ltd,HDFCBANK,1646.95,1603.75,2.69,11.96,3
ICICI Bank Ltd,ICICIBANK,1010.30,899.45,12.32,12.23,5
Indusind Bank Ltd,INDUSINDBK,1510.00,1212.00,24.58,7.31,2
Kotak Mahindra Bank Ltd,KOTAKBANK,1836.05,1832.36,0.20,13.33,3
State Bank of India,SBIN,613.95,551.21,11.38,10.40,7
Karur Vysya Bank Ltd,KARURVYSYA,163.00,117.42,38.81,7.49,19
Bank of Baroda Ltd,BANKBARODA,215.15,190.17,13.13,5.73,11
